build_id,scope_version,snapshot_date,comercio_a,bandera_a,comercio_b,bandera_b,common_gtins,catalog_a,catalog_b,containment_pct,jaccard_pct,publishable
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,13,1,15,1,2071,10481,4183,49.509921109251735,16.445644405622172,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,15,1,9,3,1921,4183,10962,45.923978006215634,14.526618269812463,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,11,2,15,1,1859,26381,4183,44.44178819029405,6.476223654415607,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,10,1,11,2,8175,34394,26429,30.931930833554052,15.527655371524084,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,10,1,12,1,7723,34394,13340,57.8935532233883,19.302191897228262,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,10,1,9,3,5909,34394,10951,53.95854259884942,14.983771173547012,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,12,1,9,3,5727,13340,10951,52.29659391836362,30.850032320620556,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,11,2,12,1,5688,26429,13340,42.638680659670165,16.689651125260408,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,10,1,2,1,5599,34394,8908,62.85361472833408,14.85027716627324,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,12,1,2,1,5193,13340,8908,58.29591378536147,30.448548812664907,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,10,1,13,1,5186,34394,10497,49.40459178812994,13.061327288754566,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,12,1,13,1,4899,13340,10497,46.67047727922264,25.868623930721302,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,13,1,2,1,4189,10497,8908,47.02514593623709,27.530231335436383,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,11,2,9,3,4109,26429,10951,37.52168751712173,12.350094677046076,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,11,2,2,1,4100,26429,8908,46.026044005388414,13.12546019143964,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,13,1,9,3,4070,10497,10951,38.77298275697819,23.420416618713315,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,2,1,9,3,4063,8908,10951,45.61068702290076,25.72170169663206,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-01,11,2,13,1,3987,26429,10497,37.982280651614744,12.104192598439539,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,10,1,11,2,8192,34445,26540,30.866616428033158,15.517208720853143,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,10,1,12,1,7722,34445,13351,57.83836416747809,19.26935169935619,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,10,1,9,3,5915,34445,10958,53.9788282533309,14.979234197730957,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,12,1,9,3,5719,13351,10958,52.19018068990692,30.763851533082303,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,11,2,12,1,5696,26540,13351,42.6634709010561,16.657406053516596,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,10,1,2,1,5610,34445,8915,62.92765002804263,14.860927152317881,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,12,1,2,1,5188,13351,8915,58.19405496354459,30.378264433774447,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,11,2,9,3,4114,26540,10958,37.54334732615441,12.323268631679847,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,11,2,2,1,4109,26540,8915,46.09085810431856,13.108530594015185,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,2,1,9,3,4078,8915,10958,45.743129556926526,25.818296929408042,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,10,1,15,1,2644,34445,4190,63.10262529832936,7.346281014698119,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,12,1,15,1,2509,13351,4190,59.88066825775656,16.69105907397552,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,15,1,2,1,2106,4190,8915,50.26252983293556,19.147195199563598,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,15,1,9,3,1927,4190,10958,45.99045346062052,14.575296876181833,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-08-02,11,2,15,1,1870,26540,4190,44.630071599045344,6.4795564795564795,True
