build_id,scope_version,snapshot_date,id_comercio,id_bandera,banner_label,source_rows,reporting_stores,reported_gtins,median_rows_7d,median_stores_7d,row_coverage_ratio,store_coverage_ratio,source_healthy
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,9,3,Jumbo,199361,33,10974,199658.0,33.0,0.9985124563002735,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,2,1,La Anonima,963313,184,8908,966780.0,184.0,0.9964138687188399,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,12,1,COTO,1005047,120,13323,1003828.0,120.0,1.001214351462601,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,11,2,Changomas,1419287,53,26779,1419287.0,53.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,13,1,Cooperativa Obrera,722439,155,10477,715322.0,155.0,1.0099493654605898,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,15,1,DIA,4004252,983,4179,4008159.0,983.0,0.9990252382702383,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,Hipermercado Carrefour,1297722,82,34371,1297722.0,82.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,9,3,Jumbo,199303,33,10978,199658.0,33.0,0.9982219595508319,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,2,1,La Anonima,966780,184,8916,966780.0,184.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,12,1,COTO,1006664,120,13333,1003828.0,120.0,1.0028251851910885,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,11,2,Changomas,1398193,53,26381,1419287.0,53.0,0.9851376078270286,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,13,1,Cooperativa Obrera,717320,155,10481,715322.0,155.0,1.002793147701315,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,15,1,DIA,4008159,983,4183,4008159.0,983.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,Hipermercado Carrefour,1301399,82,34392,1297722.0,82.0,1.002833426573642,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,9,3,Jumbo,199658,33,10962,199658.0,33.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,2,1,La Anonima,968633,184,8907,966780.0,184.0,1.0019166718384742,1.0,True
